main_rank,rank,source,model_type,feature_set,classifier,threshold_method,decision_threshold,n_features,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,selection_score,uses_age
36,52,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,catboost,optimized_on_validation_f1,0.15000000000000002,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_catboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7620137299771167,0.6881720430107527,0.6428571428571429,0.8,0.7128712871287128,0.7620370370370371,0.7491399480626333,False
37,53,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,xgboost,optimized_on_validation_f1,0.12000000000000001,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_xgboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7597254004576659,0.6774193548387096,0.6363636363636364,0.7777777777777778,0.7,0.775,0.7475381173990178,False
38,54,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,xgboost,optimized_on_validation_f1,0.11,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_xgboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7585812356979404,0.6774193548387096,0.6363636363636364,0.7777777777777778,0.7,0.7615740740740741,0.74673720206721,False
39,55,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,random_forest,optimized_on_validation_f1,0.41,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_random_forest.joblib,0.7619047619047619,0.6875,0.868421052631579,0.7674418604651163,0.7356979405034325,0.6881720430107527,0.6739130434782609,0.6888888888888889,0.6813186813186813,0.7291666666666667,0.7452211164919377,False
40,56,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,gradient_boosting,optimized_on_validation_f1,0.16,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_gradient_boosting.joblib,0.7380952380952381,0.6538461538461539,0.8947368421052632,0.7555555555555555,0.7391304347826088,0.6559139784946236,0.6140350877192983,0.7777777777777778,0.6862745098039216,0.7296296296296296,0.7440579710144928,False
41,57,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,svc_rbf,default_threshold_0.50,0.5,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_svc_rbf.joblib,0.6904761904761905,0.65,0.6842105263157895,0.6666666666666666,0.7768878718535468,0.7096774193548387,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.7824074074074074,0.7438215102974827,False
42,58,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,hist_gradient_boosting,optimized_on_validation_f1,0.1,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_hist_gradient_boosting.joblib,0.6785714285714286,0.6170212765957447,0.7631578947368421,0.6823529411764706,0.7683066361556063,0.6774193548387096,0.6470588235294118,0.7333333333333333,0.6875,0.7356481481481482,0.7425205276618656,False
43,59,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,xgboost,optimized_on_validation_f1,0.11,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_xgboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7522883295194508,0.6774193548387096,0.6363636363636364,0.7777777777777778,0.7,0.7597222222222222,0.7423321677422672,False
44,60,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,mlp_classifier,optimized_on_validation_f1,0.44000000000000006,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_mlp_classifier.joblib,0.7023809523809523,0.6326530612244898,0.8157894736842105,0.7126436781609196,0.7534324942791762,0.6451612903225806,0.59375,0.8444444444444444,0.6972477064220184,0.7375,0.7411958494436992,False
45,61,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,random_forest,default_threshold_0.50,0.5,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_random_forest.joblib,0.75,0.6808510638297872,0.8421052631578947,0.7529411764705882,0.7356979405034325,0.6989247311827957,0.7297297297297297,0.6,0.6585365853658537,0.7291666666666667,0.7408709112935792,False
46,62,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,lightgbm,optimized_on_validation_f1,0.2,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_lightgbm.joblib,0.7142857142857143,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.7488558352402745,0.6774193548387096,0.6470588235294118,0.7333333333333333,0.6875,0.7449074074074074,0.7384847989539065,False
47,63,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,extra_trees,optimized_on_validation_f1,0.43,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_extra_trees.joblib,0.7142857142857143,0.6458333333333334,0.8157894736842105,0.7209302325581395,0.7448512585812358,0.6451612903225806,0.6304347826086957,0.6444444444444445,0.6373626373626373,0.7217592592592593,0.7376749507743069,False
48,64,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,lightgbm,optimized_on_validation_f1,0.13,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_lightgbm.joblib,0.7023809523809523,0.6326530612244898,0.8157894736842105,0.7126436781609196,0.7482837528604119,0.6774193548387096,0.6415094339622641,0.7555555555555555,0.6938775510204082,0.7476851851851851,0.7375917304505641,False
49,65,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,catboost,default_threshold_0.50,0.5,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_catboost.joblib,0.6785714285714286,0.6341463414634146,0.6842105263157895,0.6582278481012658,0.7705949656750573,0.6881720430107527,0.66,0.7333333333333333,0.6947368421052632,0.7560185185185184,0.7368848304029197,False
50,66,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,xgboost,optimized_on_validation_f1,0.11,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_xgboost.joblib,0.7023809523809523,0.6274509803921569,0.8421052631578947,0.7191011235955056,0.7408466819221967,0.6774193548387096,0.6363636363636364,0.7777777777777778,0.7,0.7708333333333333,0.7343230144241893,False
51,67,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,hist_gradient_boosting,optimized_on_validation_f1,0.1,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_hist_gradient_boosting.joblib,0.6785714285714286,0.6222222222222222,0.7368421052631579,0.6746987951807228,0.7591533180778032,0.6881720430107527,0.6538461538461539,0.7555555555555555,0.7010309278350515,0.7435185185185185,0.7338169612086791,False
52,68,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,hist_gradient_boosting,optimized_on_validation_f1,0.15000000000000002,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_hist_gradient_boosting.joblib,0.7023809523809523,0.6382978723404256,0.7894736842105263,0.7058823529411765,0.7437070938215102,0.6774193548387096,0.6530612244897959,0.7111111111111111,0.6808510638297872,0.7388888888888889,0.7323596715574101,False
